market,timestamp,bar_index,position_side_before_manage,position_side_after_manage,runtime_close,avg_entry,atr_unscaled,runtime_price_scale,runtime_add_on_profit_distance,profit_threshold_price,runtime_in_profit,len_trades,len_trades_lt_2_pass,add_on_gap_bars_pass,all_long2_gates_passed,add_long_signal,bars_since_long1_entry,active_long_entry_timestamp,position_size
AVAXUSDT,2021-11-13T20:00:00+00:00,2435,long,long,9.754e-07,9.371020983879967e-07,3.5413834397324773,1e-08,2.833106751785982e-08,9.654331659058565e-07,True,2,False,False,False,True,2,2021-11-13T12:00:00+00:00,1593003489.0
BCHUSDT,2025-07-11T12:00:00+00:00,12254,long,long,5.289e-06,5.117e-06,8.8296116733818,1e-08,7.063689338705441e-08,5.187636893387055e-06,True,1,True,True,True,True,5,2025-07-10T16:00:00+00:00,97884325.0
BCHUSDT,2025-09-17T20:00:00+00:00,12664,long,long,6.167e-06,6e-06,8.997024314514901,1e-08,7.197619451611921e-08,6.0719761945161195e-06,True,1,True,True,True,True,1,2025-09-17T16:00:00+00:00,166741850.0
BCHUSDT,2026-01-11T04:00:00+00:00,13356,long,long,6.538e-06,6.399e-06,10.739862026533176,1e-08,8.591889621226541e-08,6.484918896212265e-06,True,1,True,True,True,True,13,2026-01-09T00:00:00+00:00,156273574.0
BCHUSDT,2025-07-01T00:00:00+00:00,12191,long,long,5.242000000000001e-06,5.132e-06,11.472121800867537,1e-08,9.17769744069403e-08,5.2237769744069404e-06,True,1,True,True,True,True,3,2025-06-30T12:00:00+00:00,195321386.0
BCHUSDT,2020-12-20T08:00:00+00:00,2269,long,long,3.5161e-06,3.4058e-06,11.975465606007441,1e-08,9.580372484805954e-08,3.5016037248480596e-06,True,1,True,True,True,True,1,2020-12-20T04:00:00+00:00,292812988.0
BCHUSDT,2025-08-07T08:00:00+00:00,12415,long,long,5.816000000000001e-06,5.625e-06,12.472018458756619,1e-08,9.977614767005295e-08,5.724776147670054e-06,True,1,True,True,True,True,7,2025-08-06T04:00:00+00:00,177859326.0
BCHUSDT,2025-07-20T12:00:00+00:00,12308,long,long,5.51e-06,5.145e-06,12.891422444960922,1e-08,1.0313137955968738e-07,5.248131379559687e-06,True,1,True,True,True,True,10,2025-07-18T20:00:00+00:00,97308550.0
BCHUSDT,2020-02-14T08:00:00+00:00,410,long,long,4.8851e-06,4.7186e-06,13.136364607965675,1e-08,1.0509091686372541e-07,4.823690916863725e-06,True,1,True,True,True,True,5,2020-02-13T12:00:00+00:00,211491630.0
BCHUSDT,2025-08-12T16:00:00+00:00,12447,long,long,6.193e-06,5.8750000000000005e-06,14.518680395640816,1e-08,1.1614944316512654e-07,5.991149443165127e-06,True,1,True,True,True,True,8,2025-08-11T08:00:00+00:00,170273147.0
BCHUSDT,2025-12-06T08:00:00+00:00,13141,long,long,5.901000000000001e-06,5.7439999999999996e-06,14.55415494728063,1e-08,1.1643323957824506e-07,5.860433239578245e-06,True,1,True,True,True,True,5,2025-12-05T12:00:00+00:00,174241911.0
BCHUSDT,2021-02-06T00:00:00+00:00,2555,long,long,4.7336e-06,4.3563e-06,15.075108252072429,1e-08,1.2060086601657943e-07,4.47690086601658e-06,True,1,True,True,True,True,5,2021-02-05T04:00:00+00:00,229466374.0
BCHUSDT,2021-02-08T12:00:00+00:00,2570,long,long,4.7343000000000006e-06,4.5423000000000005e-06,16.328835478097623,1e-08,1.30630683824781e-07,4.672930683824782e-06,True,1,True,True,True,True,1,2021-02-08T08:00:00+00:00,220084621.0
BCHUSDT,2021-08-13T20:00:00+00:00,3688,long,long,6.5444e-06,6.061799999999999e-06,18.0890600590001,1e-08,1.4471248047200082e-07,6.206512480472e-06,True,1,True,True,True,True,7,2021-08-12T16:00:00+00:00,83064901.0
