market,trade_tag,side,entry_timestamp,exit_timestamp,entry_bar,exit_bar,duration_bars,entry_price,exit_price,pnl,return_pct,exit_mechanism_label,exit_mechanism_detail,exact_close_event,matched_event_bar,matched_event_timestamp,tp1_occurred,tp2_occurred,trailing_stop_occurred,stop_assignment_occurred,stop_hit_occurred_proxy,trend_fail_occurred,add_on_interaction_occurred,add_on_entry_before_exit,latest_stop_kind,latest_stop_price,exit_to_stop_distance_pct,classification_confidence,notes
DOTUSDT,Long1,long,2021-02-10 16:00:00+00:00,2021-02-13 08:00:00+00:00,988,1004,16.0,23.1368,27.331768471670966,90.33530776542383,0.18131152413777896,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,1003,2021-02-13 04:00:00+00:00,True,True,True,True,True,False,True,True,long_trailing_stop,2.7331768471670965e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-02-14 16:00:00+00:00,2021-02-15 00:00:00+00:00,1012,1014,2.0,27.209299999999995,25.294795869351326,-70.23674405592944,-0.07036212363598737,stop_hit_proxy:long_base_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,1013,2021-02-14 20:00:00+00:00,False,False,False,True,True,False,False,False,long_base_stop,2.5294795869351326e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-02-15 12:00:00+00:00,2021-02-16 00:00:00+00:00,1017,1020,3.0,29.3141,26.907270393075724,-81.90008158903368,-0.08210484398034656,stop_hit_proxy:long_base_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,1019,2021-02-15 20:00:00+00:00,False,False,False,True,True,False,False,False,long_base_stop,2.6907270393075726e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-02-22 04:00:00+00:00,2021-02-22 12:00:00+00:00,1057,1059,2.0,38.4591,35.350251079731635,-80.56662390361633,-0.08083519687845953,stop_hit_proxy:long_base_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,1058,2021-02-22 08:00:00+00:00,False,False,False,True,True,False,False,False,long_base_stop,3.535025107973164e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-03-11 16:00:00+00:00,2021-03-12 08:00:00+00:00,1162,1166,4.0,37.0633,35.8366,-32.96048331243603,-0.03309743061195314,long_trend_fail_close,position.close(),True,1166,2021-03-12 08:00:00+00:00,False,False,False,True,False,True,False,False,long_base_stop,3.510223849265127e-07,102092063.60580133,exact,Research-only instrumentation; explicit strategy close event matched.
DOTUSDT,Long1,long,2021-03-13 08:00:00+00:00,2021-03-15 04:00:00+00:00,1172,1183,11.0,38.011,36.06861809318109,-50.87173898869738,-0.051100521081237416,stop_hit_proxy:long_base_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,1182,2021-03-15 00:00:00+00:00,False,False,False,True,True,False,False,False,long_base_stop,3.606861809318109e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-04-04 00:00:00+00:00,2021-04-06 12:00:00+00:00,1302,1317,15.0,44.4056,42.10717170408287,-51.50130757616422,-0.0517598747887007,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,1316,2021-04-06 08:00:00+00:00,False,False,True,True,True,False,False,False,long_trailing_stop,4.210717170408287e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long2,long,2021-04-14 00:00:00+00:00,2021-04-14 12:00:00+00:00,1362,1365,3.0,43.9273,41.53867197071775,-26.767886727218713,-0.054376846045221305,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,1364,2021-04-14 08:00:00+00:00,False,False,True,True,True,False,True,False,long_trailing_stop,4.153867197071775e-07,99999998.99999999,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-04-13 16:00:00+00:00,2021-04-14 12:00:00+00:00,1360,1365,5.0,42.68,41.53867197071775,-26.593899960282833,-0.02674151896162713,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,1364,2021-04-14 08:00:00+00:00,False,False,True,True,True,False,True,True,long_trailing_stop,4.153867197071775e-07,99999998.99999999,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-04-17 16:00:00+00:00,2021-04-18 00:00:00+00:00,1384,1386,2.0,43.4023,40.52620234370402,-65.86388852457542,-0.0662660194574014,stop_hit_proxy:long_base_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,1385,2021-04-17 20:00:00+00:00,False,False,False,True,True,False,False,False,long_base_stop,4.0526202343704025e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
