symbol,base_population,comparison,failure_bucket,clean_count,failure_count,clean_avg,failure_avg,avg_delta_clean_minus_failure,clean_median,failure_median,median_delta_clean_minus_failure,supports_higher_clean_displacement,contradicts_higher_clean_displacement,sample_too_small_to_interpret
LTCUSDT,executed_short1,clean_followthrough_vs_all_non_clean,all_non_clean,3,9,0.32942670448506384,0.41059830068379227,-0.08117159619872844,0.2344274112247347,0.4897190790691551,-0.2552916678444204,False,True,False
DOGEUSDT,executed_short1,clean_followthrough_vs_all_non_clean,all_non_clean,3,8,0.46436955868843904,0.4067356103189383,0.057633948369500754,0.5101953493345212,0.4139210212701035,0.09627432806441766,True,False,False
NEARUSDT,executed_short1,clean_followthrough_vs_all_non_clean,all_non_clean,7,4,0.417158496076296,0.3911719767348034,0.025986519341492598,0.3888556665220594,0.4117905808536727,-0.02293491433161332,True,False,False
ETCUSDT,executed_short1,clean_followthrough_vs_all_non_clean,all_non_clean,4,6,0.6080396308828875,0.46344951246465044,0.14459011841823705,0.6418574451661074,0.496790422110743,0.14506702305536445,True,False,False
AAVEUSDT,executed_short1,clean_followthrough_vs_all_non_clean,all_non_clean,2,8,0.46893254093797027,0.35953816298107966,0.10939437795689061,0.46893254093797027,0.35855091200146716,0.1103816289365031,True,False,True
FILUSDT,starter_short_signal,clean_followthrough_vs_adverse_dominant,adverse_dominant,21,43,0.5150742679232289,0.41742391360087605,0.0976503543223528,0.4804791341172815,0.4097530935233439,0.07072604059393761,True,False,False
DOTUSDT,starter_short_signal,clean_followthrough_vs_adverse_dominant,adverse_dominant,33,19,0.4289939276471809,0.3804665590213802,0.048527368625800704,0.3984395326581547,0.3363103965820326,0.06212913607612208,True,False,False
ATOMUSDT,starter_short_signal,clean_followthrough_vs_adverse_dominant,adverse_dominant,18,25,0.4302468616270365,0.4037731093612243,0.026473752265812223,0.4420513341893152,0.3697185148750045,0.07233281931431068,True,False,False
UNIUSDT,starter_short_signal,clean_followthrough_vs_adverse_dominant,adverse_dominant,19,16,0.379620430496656,0.3548215603473237,0.024798870149332297,0.3569538659493279,0.331436934180506,0.02551693176882186,True,False,False
ADAUSDT,starter_short_signal,clean_followthrough_vs_adverse_dominant,adverse_dominant,10,22,0.5283203604792597,0.36435187755916815,0.16396848292009153,0.5196434975178017,0.3617252154301599,0.1579182820876418,True,False,False
XRPUSDT,starter_short_signal,clean_followthrough_vs_adverse_dominant,adverse_dominant,15,15,0.4500170381472496,0.3388100457180129,0.1112069924292367,0.4273247269463616,0.3035390528569304,0.1237856740894312,True,False,False
LTCUSDT,starter_short_signal,clean_followthrough_vs_adverse_dominant,adverse_dominant,9,19,0.46182231153783143,0.37075660059669835,0.09106571094113308,0.4510729217760267,0.3530421030643403,0.0980308187116864,True,False,False
DOGEUSDT,starter_short_signal,clean_followthrough_vs_adverse_dominant,adverse_dominant,18,30,0.5157862104866817,0.4530462506067709,0.06273995987991082,0.5321386493515332,0.4780274061792906,0.054111243172242585,True,False,False
NEARUSDT,starter_short_signal,clean_followthrough_vs_adverse_dominant,adverse_dominant,15,10,0.4370391060703388,0.41448163524938825,0.022557470820950554,0.3888556665220594,0.33162237670289735,0.057233289819162037,True,False,False
ETCUSDT,starter_short_signal,clean_followthrough_vs_adverse_dominant,adverse_dominant,11,15,0.46204094094778725,0.36664187560986206,0.09539906533792519,0.4577378003945409,0.4124925823763639,0.04524521801817699,True,False,False
AAVEUSDT,starter_short_signal,clean_followthrough_vs_adverse_dominant,adverse_dominant,7,13,0.44404755969149706,0.33349277128652177,0.11055478840497529,0.4045117122745947,0.3435104604535512,0.06100125182104349,True,False,False
FILUSDT,starter_short_signal,clean_followthrough_vs_weak_followthrough,weak_followthrough,21,5,0.5150742679232289,0.4639567122787228,0.05111755564450604,0.4804791341172815,0.5425851683836416,-0.06210603426636008,True,False,False
DOTUSDT,starter_short_signal,clean_followthrough_vs_weak_followthrough,weak_followthrough,33,4,0.4289939276471809,0.4106221518114559,0.018371775835725024,0.3984395326581547,0.37191337470169317,0.026526157956461516,True,False,False
ATOMUSDT,starter_short_signal,clean_followthrough_vs_weak_followthrough,weak_followthrough,18,8,0.4302468616270365,0.3556155257494688,0.0746313358775677,0.4420513341893152,0.431733843943933,0.0103174902453822,True,False,False
UNIUSDT,starter_short_signal,clean_followthrough_vs_weak_followthrough,weak_followthrough,19,7,0.379620430496656,0.35119182369454655,0.028428606802109457,0.3569538659493279,0.2971060709038668,0.05984779504546106,True,False,False
ADAUSDT,starter_short_signal,clean_followthrough_vs_weak_followthrough,weak_followthrough,10,1,0.5283203604792597,0.2945635096662887,0.23375685081297098,0.5196434975178017,0.2945635096662887,0.225079987851513,True,False,True
XRPUSDT,starter_short_signal,clean_followthrough_vs_weak_followthrough,weak_followthrough,15,3,0.4500170381472496,0.47843867744927754,-0.028421639302027957,0.4273247269463616,0.4205320749375879,0.006792652008773714,False,True,False
LTCUSDT,starter_short_signal,clean_followthrough_vs_weak_followthrough,weak_followthrough,9,1,0.46182231153783143,0.3245904075442907,0.13723190399354074,0.4510729217760267,0.3245904075442907,0.126482514231736,True,False,True
DOGEUSDT,starter_short_signal,clean_followthrough_vs_weak_followthrough,weak_followthrough,18,8,0.5157862104866817,0.46467507789537804,0.051111132591303676,0.5321386493515332,0.4434831152119699,0.08865553413956329,True,False,False
NEARUSDT,starter_short_signal,clean_followthrough_vs_weak_followthrough,weak_followthrough,15,1,0.4370391060703388,0.5148655871421335,-0.07782648107179468,0.3888556665220594,0.5148655871421335,-0.1260099206200741,False,True,True
ETCUSDT,starter_short_signal,clean_followthrough_vs_weak_followthrough,weak_followthrough,11,2,0.46204094094778725,0.3344600960539819,0.12758084489380533,0.4577378003945409,0.3344600960539819,0.12327770434055896,True,False,True
AAVEUSDT,starter_short_signal,clean_followthrough_vs_weak_followthrough,weak_followthrough,7,1,0.44404755969149706,0.7134676745044827,-0.2694201148129856,0.4045117122745947,0.7134676745044827,-0.30895596222988797,False,True,True
FILUSDT,starter_short_signal,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,21,0,0.5150742679232289,,,0.4804791341172815,,,,False,True
DOTUSDT,starter_short_signal,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,33,0,0.4289939276471809,,,0.3984395326581547,,,,False,True
ATOMUSDT,starter_short_signal,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,18,0,0.4302468616270365,,,0.4420513341893152,,,,False,True
