symbol,base_population,field,display_field,field_kind,is_major_candidate_field,expected_direction,observed_direction,supports_expected_direction,contradicts_expected_direction,sample_too_small_to_interpret,clean_count,adverse_dominant_count,clean_avg,clean_median,adverse_dominant_avg,adverse_dominant_median,delta_clean_minus_adverse,median_delta_clean_minus_adverse
DOTUSDT,starter_short_signal,entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,pre_entry_numeric,True,higher_clean,higher_clean,True,False,False,33,19,0.4289939276471809,0.3984395326581547,0.3804665590213802,0.3363103965820326,0.048527368625800704,0.06212913607612208
DOTUSDT,starter_short_signal,entry_adx,entry_adx,pre_entry_numeric,True,lower_clean,higher_clean,False,True,False,33,19,27.605283306631474,28.46225867195,26.859320865657306,24.21274665608589,0.7459624409741679,4.249512015864109
DOTUSDT,starter_short_signal,entry_exec_distance_atr,entry_exec_distance_atr,pre_entry_numeric,True,lower_clean,higher_clean,False,True,False,33,19,1.2477548205100786,1.2609098633139768,1.2316838499767777,1.3181685113088903,0.016070970533300866,-0.057258647994913536
DOTUSDT,starter_short_signal,entry_atr_ratio,entry_atr_ratio,pre_entry_numeric,False,lower_clean,lower_clean,True,False,False,33,19,1.0039353389644248,0.988300319741404,1.0288851968444652,0.9778404480604692,-0.02494985788004045,0.010459871680934762
DOTUSDT,starter_short_signal,entry_plus_di,plus_di,pre_entry_numeric,True,lower_clean,lower_clean,True,False,False,33,19,15.921618470622581,16.415289004275376,16.73740935169815,16.3504103396176,-0.8157908810755696,0.06487866465777614
DOTUSDT,starter_short_signal,entry_minus_di,minus_di,pre_entry_numeric,False,higher_clean,higher_clean,True,False,False,33,19,25.284904977205937,24.703290412868427,23.086778317376353,22.15363742993058,2.198126659829583,2.5496529829378467
DOTUSDT,starter_short_signal,entry_di_spread,di_spread,pre_entry_numeric,True,lower_clean,lower_clean,True,False,False,33,19,-9.363286506583352,-8.769043803506323,-6.349368965678202,-4.373645184503943,-3.0139175409051493,-4.39539861900238
DOTUSDT,starter_short_signal,entry_rsi,entry_rsi,pre_entry_numeric,False,lower_clean,lower_clean,True,False,False,33,19,44.58737068160256,44.79077804002471,44.983584684770285,45.21845323311712,-0.3962140031677279,-0.427675193092405
DOTUSDT,starter_short_signal,entry_short_resumption_strong,entry_short_resumption_strong,pre_entry_boolean,True,higher_clean,higher_clean,True,False,False,33,19,0.5151515151515151,1.0,0.21052631578947367,0.0,0.30462519936204147,1.0
DOTUSDT,starter_short_signal,entry_short_resumption,entry_short_resumption,pre_entry_boolean,False,higher_clean,flat,False,True,False,33,19,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,starter_short_signal,entry_short_pullback,entry_short_pullback,pre_entry_boolean,False,higher_clean,flat,False,True,False,33,19,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,starter_short_signal,entry_exec_bear_structure,entry_exec_bear_structure,pre_entry_boolean,False,higher_clean,flat,False,True,False,33,19,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,starter_short_signal,entry_exec_slope_down,entry_exec_slope_down,pre_entry_boolean,False,higher_clean,flat,False,True,False,33,19,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,starter_short_signal,entry_exec_adx_pass,entry_exec_adx_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,33,19,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,starter_short_signal,entry_exec_atr_pass,entry_exec_atr_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,33,19,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,starter_short_signal,entry_exec_distance_pass,entry_exec_distance_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,33,19,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,starter_short_signal,entry_short_distance_cap_pass,entry_short_distance_cap_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,33,19,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,starter_short_signal,entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,33,19,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,starter_short_signal,entry_exec_bear_momentum,entry_exec_bear_momentum,pre_entry_boolean,False,higher_clean,flat,False,True,False,33,19,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,starter_short_signal,entry_short_squeeze_risk,entry_short_squeeze_risk,pre_entry_boolean,False,lower_clean,flat,False,True,False,33,19,0.0,0.0,0.0,0.0,0.0,0.0
DOTUSDT,starter_short_signal,entry_short_squeeze_pass,entry_short_squeeze_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,33,19,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,executed_short1,entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,pre_entry_numeric,True,higher_clean,higher_clean,True,False,False,7,7,0.42679882464716556,0.4359324534918558,0.29259401612072045,0.2564503334909644,0.13420480852644512,0.17948212000089137
ATOMUSDT,executed_short1,entry_adx,entry_adx,pre_entry_numeric,True,lower_clean,lower_clean,True,False,False,7,7,25.48910577013074,23.19590059035536,26.098794910363274,26.39364090846408,-0.6096891402325326,-3.1977403181087176
ATOMUSDT,executed_short1,entry_exec_distance_atr,entry_exec_distance_atr,pre_entry_numeric,True,lower_clean,higher_clean,False,True,False,7,7,1.2044182351280017,1.2241203537194014,1.1545459299923169,1.205858630792131,0.04987230513568486,0.018261722927270352
ATOMUSDT,executed_short1,entry_atr_ratio,entry_atr_ratio,pre_entry_numeric,False,lower_clean,lower_clean,True,False,False,7,7,0.9830612144587408,0.9967718118612674,1.0010487664382657,0.9969927203465824,-0.01798755197952484,-0.00022090848531497453
ATOMUSDT,executed_short1,entry_plus_di,plus_di,pre_entry_numeric,True,lower_clean,higher_clean,False,True,False,7,7,17.133383112226813,16.962957853908218,16.86582832832982,17.252152559245385,0.26755478389699405,-0.2891947053371666
ATOMUSDT,executed_short1,entry_minus_di,minus_di,pre_entry_numeric,False,higher_clean,higher_clean,True,False,False,7,7,25.669374620250856,26.07089388831761,22.015375740839723,21.613286153193595,3.6539988794111338,4.457607735124014
ATOMUSDT,executed_short1,entry_di_spread,di_spread,pre_entry_numeric,True,lower_clean,lower_clean,True,False,False,7,7,-8.535991508024049,-9.405417968491443,-5.149547412509904,-4.7044631976790825,-3.386444095514145,-4.700954770812361
ATOMUSDT,executed_short1,entry_rsi,entry_rsi,pre_entry_numeric,False,lower_clean,lower_clean,True,False,False,7,7,45.079317318242495,45.22591539651188,45.295579099120594,45.10524926772138,-0.21626178087809933,0.12066612879049643
ATOMUSDT,executed_short1,entry_short_resumption_strong,entry_short_resumption_strong,pre_entry_boolean,True,higher_clean,flat,False,True,False,7,7,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0
ATOMUSDT,executed_short1,entry_short_resumption,entry_short_resumption,pre_entry_boolean,False,higher_clean,flat,False,True,False,7,7,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,executed_short1,entry_short_pullback,entry_short_pullback,pre_entry_boolean,False,higher_clean,flat,False,True,False,7,7,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,executed_short1,entry_exec_bear_structure,entry_exec_bear_structure,pre_entry_boolean,False,higher_clean,flat,False,True,False,7,7,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,executed_short1,entry_exec_slope_down,entry_exec_slope_down,pre_entry_boolean,False,higher_clean,flat,False,True,False,7,7,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,executed_short1,entry_exec_adx_pass,entry_exec_adx_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,7,7,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,executed_short1,entry_exec_atr_pass,entry_exec_atr_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,7,7,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,executed_short1,entry_exec_distance_pass,entry_exec_distance_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,7,7,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,executed_short1,entry_short_distance_cap_pass,entry_short_distance_cap_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,7,7,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,executed_short1,entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,7,7,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,executed_short1,entry_exec_bear_momentum,entry_exec_bear_momentum,pre_entry_boolean,False,higher_clean,flat,False,True,False,7,7,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,executed_short1,entry_short_squeeze_risk,entry_short_squeeze_risk,pre_entry_boolean,False,lower_clean,flat,False,True,False,7,7,0.0,0.0,0.0,0.0,0.0,0.0
