symbol,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,direction,is_winner,is_loser
ETCUSDT,-63.25230115,13834,13843,16.0,18.46,59302472.2410406,,-156.69049797781463,1.0898371488145,-0.15482687500000006,2025-05-07 12:00:00+00:00,2025-05-09 00:00:00+00:00,1 days 12:00:00,Short1,short,False,True
ETCUSDT,-60.47101714,14079,14209,16.71,16.82,38220796.621996984,,-7.665608487752119,1.0137966023521001,-0.007586175942549463,2025-06-17 08:00:00+00:00,2025-07-09 00:00:00+00:00,21 days 16:00:00,Short1,short,False,True
ETCUSDT,-55.455218370000004,14713,14725,18.22,19.8,50711224.02961559,,-88.67344872581367,1.0542037012137,-0.0877612513721185,2025-10-01 00:00:00+00:00,2025-10-03 00:00:00+00:00,2 days 00:00:00,Short1,short,False,True
ETCUSDT,-64.3408405,14838,14941,15.690000000000001,17.15,113934673.35758145,,-94.99410373100991,1.05647660101,-0.09409942638623311,2025-10-21 20:00:00+00:00,2025-11-08 00:00:00+00:00,17 days 04:00:00,Short1,short,False,True
ETCUSDT,-66.92490518,14991,15295,15.069999999999999,13.35,36529200.13546308,,114.15983400699217,0.9510029026078,0.11319110816191108,2025-11-16 08:00:00+00:00,2026-01-06 00:00:00+00:00,50 days 16:00:00,Short1,short,True,False
ETCUSDT,-123.73766531,15672,15697,8.16,8.48,23858340.306181334,,-40.625550274579226,1.0294973753792,-0.04023529411764714,2026-03-09 20:00:00+00:00,2026-03-14 00:00:00+00:00,4 days 04:00:00,Short1,short,False,True
ETCUSDT,-124.91253669,15797,15811,8.08,7.95,23404356.736717455,,15.237455788129711,1.00117398157035,0.01509715346534655,2026-03-30 16:00:00+00:00,2026-04-02 00:00:00+00:00,2 days 08:00:00,Short1,short,True,False
LINKUSDT,-148.72848115,8501,8659,6.752999999999999,6.079000000000001,16137550.140161136,,99.2887543600415,0.9542419350583999,0.09885739671257208,2022-12-14 16:00:00+00:00,2023-01-10 00:00:00+00:00,26 days 08:00:00,Short1,short,True,False
LINKUSDT,-153.25546106000002,9423,9649,6.559999999999999,6.079000000000001,21080375.91180802,,72.74737888369116,0.9684978861686699,0.07235983231707299,2023-05-17 08:00:00+00:00,2023-06-24 00:00:00+00:00,37 days 16:00:00,Short1,short,True,False
LINKUSDT,-169.31722228,10054,10159,5.942,6.236,13437679.174661085,,-50.81023591678279,1.0309725664629201,-0.05050302928306943,2023-08-30 12:00:00+00:00,2023-09-17 00:00:00+00:00,17 days 12:00:00,Short1,short,False,True
ATOMUSDT,-95.94715849,8832,9080,10.483,9.907,28245973.955731407,,54.28738200943451,0.9781812808055499,0.05397357626633607,2023-05-23 16:00:00+00:00,2023-07-04 00:00:00+00:00,41 days 08:00:00,Short1,short,True,False
ATOMUSDT,-111.76773267,9219,9542,9.004,7.329,21187515.89785922,,186.2982010334003,0.912751188849555,0.1851214460239892,2023-07-27 04:00:00+00:00,2023-09-19 00:00:00+00:00,53 days 20:00:00,Short1,short,True,False
ATOMUSDT,-144.65117876,9595,9614,6.97,7.2170000000000005,12302599.661986552,,-36.75492429025418,1.0260831365340601,-0.03645530846484954,2023-09-27 20:00:00+00:00,2023-10-01 00:00:00+00:00,3 days 04:00:00,Short1,short,False,True
ATOMUSDT,-110.31647881,10362,10394,9.136,9.639,19963714.793992892,,-56.52478478625887,1.035595944828875,-0.056084446147110396,2024-02-02 16:00:00+00:00,2024-02-08 00:00:00+00:00,5 days 08:00:00,Short1,short,False,True
ATOMUSDT,-121.18459878,10876,10922,8.312,9.337,28794897.15303626,,-125.28360724143414,1.06939349193411,-0.12437734600577476,2024-04-28 08:00:00+00:00,2024-05-06 00:00:00+00:00,7 days 16:00:00,Short1,short,False,True
ATOMUSDT,-118.16234145,10968,11588,8.514,5.242,17409104.55882151,,385.8144606399068,0.8127205844931,0.3835003523608175,2024-05-13 16:00:00+00:00,2024-08-25 00:00:00+00:00,103 days 08:00:00,Short1,short,True,False
ATOMUSDT,-232.64003492,11914,11924,4.341,4.415,11477102.135004638,,-18.233860656959727,1.0184980728797601,-0.01805528680027643,2024-10-18 08:00:00+00:00,2024-10-20 00:00:00+00:00,1 days 16:00:00,Short1,short,False,True
ATOMUSDT,-162.17605912,12448,12452,6.226,6.638,32387422.87382666,,-67.85965276969984,1.04311641225984,-0.06720719563122386,2025-01-15 08:00:00+00:00,2025-01-16 00:00:00+00:00,0 days 16:00:00,Short1,short,False,True
ATOMUSDT,-173.28351137,12535,12824,5.823,4.693,19633082.64423212,,194.8992431453167,0.91112470278346,0.19315507470376111,2025-01-29 20:00:00+00:00,2025-03-19 00:00:00+00:00,48 days 04:00:00,Short1,short,True,False
ATOMUSDT,-231.39800987,12900,12926,4.369,4.896,24651313.75350936,,-123.01870248221293,1.0719512807227751,-0.12168287937743215,2025-03-31 16:00:00+00:00,2025-04-05 00:00:00+00:00,4 days 08:00:00,Short1,short,False,True
ATOMUSDT,-237.86768737,12959,13046,4.245,4.484,15657863.07456388,,-57.88855080295645,1.0381735215263652,-0.05732968197879863,2025-04-10 12:00:00+00:00,2025-04-25 00:00:00+00:00,14 days 12:00:00,Short1,short,False,True
ATOMUSDT,-245.0630735,13121,13130,4.118,4.565,12332565.308966262,,-110.60713518810024,1.0639413336002501,-0.1096021126760564,2025-05-07 12:00:00+00:00,2025-05-09 00:00:00+00:00,1 days 12:00:00,Short1,short,False,True
ATOMUSDT,-236.85719410000002,13302,13328,4.256,4.585,11791770.669492712,,-78.973044085419,1.0470272265190501,-0.07834128289473682,2025-06-06 16:00:00+00:00,2025-06-11 00:00:00+00:00,4 days 08:00:00,Short1,short,False,True
ATOMUSDT,-243.77417288,13365,13442,4.132,4.159,10377658.304714564,,-7.592468501434083,1.01056583367404,-0.007537633107454105,2025-06-17 04:00:00+00:00,2025-06-30 00:00:00+00:00,12 days 20:00:00,Short1,short,False,True
ATOMUSDT,-246.13856197,13991,14306,4.092,2.748,16569502.547027268,,329.96843340574253,0.8417938819374,0.3276099706744867,2025-09-29 12:00:00+00:00,2025-11-21 00:00:00+00:00,52 days 12:00:00,Short1,short,True,False
ATOMUSDT,-432.39068503,14381,14570,2.337,2.255,5842683.155699762,,34.463267159631265,0.9927690128288802,0.03410526315789485,2025-12-03 12:00:00+00:00,2026-01-04 00:00:00+00:00,31 days 12:00:00,Short1,short,True,False
ATOMUSDT,-506.68746434,14761,14834,1.9949999999999999,2.277,7963912.703776954,,-143.9681493677103,1.08228442383024,-0.142424060150376,2026-02-04 20:00:00+00:00,2026-02-17 00:00:00+00:00,12 days 04:00:00,Short1,short,False,True
ATOMUSDT,-549.18527168,15028,15134,1.8379999999999999,1.794,4200325.0454691155,,23.166831500549083,0.9973204533708799,0.02295103373231774,2026-03-21 08:00:00+00:00,2026-04-08 00:00:00+00:00,17 days 16:00:00,Short1,short,True,False
DOGEUSDT,-349011.88975314,70,132,0.0028638,0.0030211,9136.80819240412,,-55.926520293172956,1.0269500350041267,-0.05595448355332062,2019-07-25 16:00:00+00:00,2019-08-05 00:00:00+00:00,10 days 08:00:00,Short1,short,False,True
DOGEUSDT,-379061.68715705,239,395,0.0026353,0.0025981,7015.926141318523,,13.109204045458485,0.9918907167838527,0.013123097939513568,2019-08-23 00:00:00+00:00,2019-09-18 00:00:00+00:00,26 days 00:00:00,Short1,short,True,False
DOGEUSDT,-437135.10859425,541,551,0.0022855,0.002426,8541.936201516883,,-62.44726378956306,1.0297810320709044,-0.06250525049223363,2019-10-12 08:00:00+00:00,2019-10-14 00:00:00+00:00,1 days 16:00:00,Short1,short,False,True
DOGEUSDT,-460496.3242019,862,1061,0.0021682,0.0021481,4624.20722276659,,8.262155974381805,0.9938201420763306,0.008274997693939658,2019-12-04 20:00:00+00:00,2020-01-07 00:00:00+00:00,33 days 04:00:00,Short1,short,True,False
