Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,direction,is_winner,is_loser_nonpositive,entry_exec_distance_atr,entry_short_ema20_gap_atr,entry_atr_ratio,entry_adx,entry_plus_di,entry_minus_di,entry_di_spread,entry_rsi,entry_exec_bear_structure,entry_exec_slope_down,entry_exec_adx_pass,entry_exec_atr_pass,entry_exec_distance_pass,entry_short_distance_cap_pass,entry_short_ema20_proximity_pass,entry_exec_bear_momentum,entry_short_squeeze_risk,entry_short_squeeze_pass,entry_short_pullback,entry_short_resumption,entry_short_resumption_strong,entry_starter_short_signal,fwd_24bar_short_return,fwd_24bar_mfe_atr,fwd_24bar_mae_atr,followthrough_label,symbol,population
-1212.48625311,11895,11940,0.831,0.858,2873633.440724634,,-33.76107347472141,1.0239446407513948,-0.033507220216606515,2026-03-30 12:00:00+00:00,2026-04-07 00:00:00+00:00,7 days 12:00:00,Short1,short,False,True,1.3466362080825678,0.13038661295127396,1.0645302247789916,33.76513507999272,19.13686240532711,26.92101963197831,-7.7841572266512,46.66891552101297,True,True,True,True,True,True,True,True,False,True,True,True,True,True,-0.009626955475330936,1.515171607138651,1.278426043523241,False,FILUSDT,executed_short1_adverse
-166.32496429,4816,4968,5.96,5.49,13389539.215367286,,77.22052279573968,0.95221042056025,0.07789848993288588,2022-11-10 16:00:00+00:00,2022-12-06 00:00:00+00:00,25 days 08:00:00,Short1,short,True,False,1.378357564692374,0.6103677370083116,1.1907462887190183,38.011677931278435,15.144603511831047,24.24080396280602,-9.096200450974973,42.77518353984219,True,True,True,True,True,True,True,True,False,True,True,True,False,True,0.040268456375838965,1.5331803076850075,0.3538108402350023,True,DOTUSDT,executed_short1_followthrough
-185.43338439000001,4989,5172,5.35,4.904,9252165.448630063,,81.75257247617238,0.95071696176753,0.08240616822429896,2022-12-09 12:00:00+00:00,2023-01-09 00:00:00+00:00,30 days 12:00:00,Short1,short,True,False,0.9366560888371283,0.5453625115439841,0.9370187233925374,19.33835882085344,17.109133607025914,23.012987845454152,-5.903854238428238,44.12744433277262,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.016822429906542032,4.605367418236951,0.12792687272881303,True,DOTUSDT,executed_short1_followthrough
-169.81113796,5828,6012,5.847,5.465,8872736.146659134,,63.9074029044183,0.96045179630176,0.06436531554643415,2023-04-28 08:00:00+00:00,2023-05-29 00:00:00+00:00,30 days 16:00:00,Short1,short,True,False,1.427382709990299,0.6829046325893595,1.020520161368506,23.28819722034609,18.308410371960115,24.223820912384078,-5.915410540423963,43.947070527388696,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.0304429622028392,1.949448350470296,1.8640143590154148,True,DOTUSDT,executed_short1_followthrough
-189.13468081,6046,6054,5.253,5.263,8534357.840915553,,-2.885816959798997,0.99447015169898,-0.0029046259280411752,2023-06-03 16:00:00+00:00,2023-06-05 00:00:00+00:00,1 days 08:00:00,Short1,short,False,True,1.0305705391000861,0.5289844243440407,0.9293023344792202,20.523668392629737,20.9684657708742,21.87089492445367,-0.9024291535794688,42.63990082076809,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.03978678850180859,6.115369259215737,2.2694429828817664,True,DOTUSDT,executed_short1_followthrough
-192.05405655,6066,6162,5.173,4.876,15228544.054611903,,56.07507918821452,0.964975607135475,0.05644219988401309,2023-06-07 00:00:00+00:00,2023-06-23 00:00:00+00:00,16 days 00:00:00,Short1,short,True,False,0.9239567756422298,0.2034617986558042,1.2053558591203302,28.617524001727283,20.031616960102482,34.44070179366021,-14.409084833557728,46.615451137446286,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.13241832592306196,11.910961106266441,0.46517628164247465,True,DOTUSDT,executed_short1_followthrough
-234.39191349,6620,6768,4.241,4.267,6195619.935478298,,-7.091292950726546,0.9971031999864601,-0.0071336948832824406,2023-09-07 08:00:00+00:00,2023-10-02 00:00:00+00:00,24 days 16:00:00,Short1,short,False,True,1.4434142073993819,0.35182992597030127,0.9304907967213336,37.25082859437879,8.86101884709495,24.337427353185227,-15.476408506090277,44.756237725219314,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.054468285781655246,5.964135825378021,1.938344143247862,True,DOTUSDT,executed_short1_followthrough
-247.07562207,6789,6888,4.023,3.872,9035888.981093137,,36.33308791444863,0.9753310181213249,0.036552945563012605,2023-10-05 12:00:00+00:00,2023-10-22 00:00:00+00:00,16 days 12:00:00,Short1,short,True,False,1.187307253101247,0.8998296098243105,0.9837875007146346,34.34689039417528,13.022308750317572,25.51180176801472,-12.489493017697148,39.11152774614194,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.043748446433010124,4.1877628012257135,1.7089076901862825,True,DOTUSDT,executed_short1_followthrough
-145.94868294,8024,8142,6.813,7.207,18804553.092081845,,-58.52688134576931,1.0231002674094,-0.05885953324526633,2024-04-28 08:00:00+00:00,2024-05-18 00:00:00+00:00,19 days 16:00:00,Short1,short,False,True,1.0229443182787719,0.29600707568758905,0.9165561055819784,33.17325916105445,16.67433493867612,26.877458908814635,-10.203123970138513,45.38682828566552,True,True,True,True,True,True,True,True,False,True,True,True,True,True,-0.034346103038309116,4.991718398907331,1.8533288233976768,False,DOTUSDT,executed_short1_adverse
-141.78390649,8243,8412,7.009,6.455,16734400.364439746,,77.59379493696925,0.9544892584906801,0.0780807533171636,2024-06-03 20:00:00+00:00,2024-07-02 00:00:00+00:00,28 days 04:00:00,Short1,short,True,False,1.2126021550148267,0.6132036871740754,0.992031357797214,19.203108284109497,15.081967268158389,23.85101107166471,-8.769043803506323,42.98275507614619,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.04993579683264382,8.585889977998473,2.5955253176166897,True,DOTUSDT,executed_short1_followthrough
