scope,candidate,market,family,trade_count,net_pnl,profit_factor,max_dd_pct,win_rate,avg_trade,median_trade,gross_profit,gross_loss,fees,avg_hold_bars,median_hold_bars,stop_loss_count,take_profit_count,time_stop_count,ema_touch_count
holdout,J_long_short_regime_switch,BCHUSDT,large_alts,20,-340.825506,0.526552,0.584993,35.0,-17.041275,-40.491491,379.054704,719.88021,19.987899,5.6,3.5,11,4,5,0
holdout,J_long_short_regime_switch,BNBUSDT,large_alts,26,-138.48732,0.757975,0.357045,30.769231,-5.326435,-21.899329,433.714539,572.201858,26.169587,6.615385,6.0,13,7,5,0
holdout,J_long_short_regime_switch,BTCUSDT,majors,36,-17.38792,0.968981,0.2131,41.666667,-0.482998,-9.151472,543.160647,560.548567,35.9836,6.75,5.5,15,6,13,0
holdout,J_long_short_regime_switch,DOGEUSDT,meme_high_beta,6,215.213883,3.642576,0.035337,66.666667,35.86898,60.203003,296.654827,81.440944,6.110662,5.333333,5.0,2,3,1,0
holdout,J_long_short_regime_switch,DOTUSDT,other,9,46.640471,1.190052,0.245409,44.444444,5.182275,-36.145538,292.049482,245.409011,9.027834,5.0,4.0,5,3,1,0
holdout,J_long_short_regime_switch,ETCUSDT,other,12,-52.259288,0.830621,0.183947,33.333333,-4.354941,-28.52278,256.275695,308.534983,11.97986,5.333333,5.0,7,3,1,0
holdout,J_long_short_regime_switch,ETHUSDT,majors,36,-455.575343,0.543799,0.589848,27.777778,-12.654871,-31.116104,543.053128,998.628471,36.181875,6.888889,7.0,17,7,9,0
holdout,J_long_short_regime_switch,FILUSDT,other,6,50.799765,1.400972,0.079203,50.0,8.466627,-14.820464,177.491211,126.691446,6.028414,8.0,9.0,3,2,1,0
holdout,J_long_short_regime_switch,LINKUSDT,large_alts,33,-852.990665,0.393186,0.996709,21.212121,-25.848202,-43.138502,552.696417,1405.687082,33.033877,5.727273,5.0,22,5,5,0
holdout,J_long_short_regime_switch,LTCUSDT,large_alts,23,-547.608609,0.345413,0.564229,17.391304,-23.80907,-31.635391,288.962773,836.571382,23.181491,6.0,4.0,12,3,6,0
holdout,J_long_short_regime_switch,NEARUSDT,other,12,-225.462356,0.492208,0.28869,25.0,-18.78853,-39.522831,218.542812,444.005168,11.893215,4.75,4.5,8,3,0,0
holdout,J_long_short_regime_switch,SOLUSDT,large_alts,27,-375.099952,0.531051,0.482546,29.62963,-13.892591,-31.547173,424.773307,799.873258,27.144993,7.481481,7.0,12,3,9,0
holdout,J_long_short_regime_switch,TRXUSDT,other,10,-26.878646,0.77613,0.082814,30.0,-2.687865,-11.835441,93.185105,120.063751,9.991556,4.7,4.0,5,2,1,0
holdout,J_long_short_regime_switch,UNIUSDT,defi,10,-319.519369,0.256717,0.25448,20.0,-31.951937,-51.462486,110.356333,429.875702,9.845163,6.6,7.5,6,0,3,0
