market,inst_id,source,endpoint_or_method,params,success,status_code,okx_code,row_count,response_sha256,raw_data_path,error_or_msg,fetch_timestamp_utc
NEARUSDT,NEAR-USDT-SWAP,okx_native_public_open_interest_current_exact,/api/v5/public/open-interest,"{""instId"": ""NEAR-USDT-SWAP"", ""instType"": ""SWAP""}",True,200,0,1,b1813a308e93b40fef87a3468579008d86bd9fcea815b144ae955a54e943df5e,research_output/exact_instrument_oi_audit_round1_raw/okx_native_current_exact_open_interest.jsonl,,2026-05-23T15:13:20.999725+00:00
NEARUSDT,NEAR-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""NEAR"", ""period"": ""1H""}",True,200,0,720,3aa9bd3d578b1305b41c8661072f9e0551d921a33b8a0ae938b1115561545021,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
NEARUSDT,NEAR-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_plus_instid_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""NEAR"", ""instId"": ""NEAR-USDT-SWAP"", ""period"": ""1H""}",True,200,0,720,3aa9bd3d578b1305b41c8661072f9e0551d921a33b8a0ae938b1115561545021,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_with_instid_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
SOLUSDT,SOL-USDT-SWAP,okx_native_public_open_interest_current_exact,/api/v5/public/open-interest,"{""instId"": ""SOL-USDT-SWAP"", ""instType"": ""SWAP""}",True,200,0,1,a50109a583257b518f288542a1baf4b61b199af97cc43f27929523b49e890dde,research_output/exact_instrument_oi_audit_round1_raw/okx_native_current_exact_open_interest.jsonl,,2026-05-23T15:13:20.999725+00:00
SOLUSDT,SOL-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""SOL"", ""period"": ""1H""}",True,200,0,720,54f2a3f6f112e886f544b242a2b0113b9945860b073b915b83dc85a5728e5cf0,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
SOLUSDT,SOL-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_plus_instid_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""SOL"", ""instId"": ""SOL-USDT-SWAP"", ""period"": ""1H""}",True,200,0,720,54f2a3f6f112e886f544b242a2b0113b9945860b073b915b83dc85a5728e5cf0,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_with_instid_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
TRXUSDT,TRX-USDT-SWAP,okx_native_public_open_interest_current_exact,/api/v5/public/open-interest,"{""instId"": ""TRX-USDT-SWAP"", ""instType"": ""SWAP""}",True,200,0,1,2c56a0383e5f5dc66424c614e6aeccd22996ba676b2aca8d891e83e4593b31a0,research_output/exact_instrument_oi_audit_round1_raw/okx_native_current_exact_open_interest.jsonl,,2026-05-23T15:13:20.999725+00:00
TRXUSDT,TRX-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""TRX"", ""period"": ""1H""}",True,200,0,720,adf5100d09ea220be098a8215935e4537e94e0061c68b299a3e3deb279923342,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
TRXUSDT,TRX-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_plus_instid_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""TRX"", ""instId"": ""TRX-USDT-SWAP"", ""period"": ""1H""}",True,200,0,720,adf5100d09ea220be098a8215935e4537e94e0061c68b299a3e3deb279923342,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_with_instid_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
UNIUSDT,UNI-USDT-SWAP,okx_native_public_open_interest_current_exact,/api/v5/public/open-interest,"{""instId"": ""UNI-USDT-SWAP"", ""instType"": ""SWAP""}",True,200,0,1,2b4b64b838908acdf83e9fe6f60723723720d4d1bd153854acca2c6dec506e15,research_output/exact_instrument_oi_audit_round1_raw/okx_native_current_exact_open_interest.jsonl,,2026-05-23T15:13:20.999725+00:00
